의료기관명,요양종별,허가병상수,일반병상(상급),일반병상(일반),일반병상(외국인),정신과개방(상급),정신과개방(일반),정신과폐쇄(상급),정신과폐쇄(일반),중환자실(성인),중환자실(소아),중환자실(신생아),격리병실(음압공조),격리병실(음압기계),격리병실(비음압),무균치료실(1인),무균치료실(다인),완화의료(호스피스),응급실,수술실,분만실,신생아실,물리치료실,인공신장실
분당서울대학교병원,상급종합병원,1335,57,1076,0,2,24,1,14,85,0,40,12,0,6,4,14,0,42,39,4,20,13,31
경기도의료원 수원병원,종합병원,167,16,107,0,0,0,0,0,9,0,0,35,0,0,0,0,0,13,3,1,2,10,0
근로복지공단안산병원,종합병원,380,6,353,0,0,0,0,0,19,0,0,1,1,0,0,0,0,8,3,0,0,24,25
경기도의료원 이천병원,종합병원,206,18,172,0,0,0,0,0,10,0,0,6,0,0,0,0,10,20,4,0,0,10,0
근로복지공단인천병원,종합병원,334,2,259,0,0,0,0,0,17,0,0,2,0,54,0,0,0,6,3,0,0,20,0
성남시의료원,종합병원,299,9,232,0,0,0,0,0,30,0,0,28,0,0,0,0,15,29,8,0,0,16,40
인천적십자병원,종합병원,122,5,107,0,0,0,0,0,8,0,0,2,0,0,0,0,0,10,3,0,0,5,29
국군포천병원,병원,100,0,90,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,6,0
국군양주병원,병원,342,0,330,0,0,0,0,6,0,0,0,0,0,6,0,0,0,9,6,0,0,9,0
국군고양병원,병원,150,0,136,0,0,0,0,8,0,0,0,6,0,0,0,0,0,4,3,0,0,9,0
서울특별시 백암정신병원,정신병원,238,0,0,0,0,62,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
인천광역시의료원백령병원,병원,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,7,0
서울특별시축령정신병원,정신병원,206,0,0,0,0,54,0,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
국립교통재활병원,병원,268,24,242,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,32,22
국군구리병원,병원,42,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
한국보훈복지의료공단 인천보훈병원,병원,137,6,124,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,2,0,0,13,0
경인권역재활병원,병원,120,8,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
인천시립치매요양병원,요양병원,137,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
안산시립노인전문병원,요양병원,210,4,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
경기도립노인전문동두천병원,요양병원,235,3,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
경기도립노인전문여주병원,요양병원,190,12,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
경기도립노인전문용인병원,요양병원,204,14,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
인천제2시립노인치매요양병원,요양병원,190,5,184,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0
경기도립노인전문남양주병원,요양병원,244,9,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0
경기도립노인전문시흥병원,요양병원,259,15,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26
근로복지공단 경기요양병원,요양병원,140,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
경기도립노인전문 평택병원,요양병원,252,11,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14
부천시립노인전문병원,요양병원,234,6,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
새로운경기도립정신병원,정신병원,50,0,10,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
고양정신병원,정신병원,274,0,0,0,0,32,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
강원특별자치도삼척의료원,종합병원,148,12,126,0,0,0,0,0,6,0,0,0,4,0,0,0,0,20,2,3,5,14,14
강원특별자치도영월의료원,종합병원,184,6,165,0,0,0,0,0,11,0,0,2,0,0,0,0,0,10,2,1,4,8,13
강원특별자치도원주의료원,종합병원,234,16,190,0,0,0,0,0,11,0,0,7,0,10,0,0,13,10,3,0,0,14,0
강원특별자치도속초의료원,종합병원,177,2,163,0,0,0,0,0,10,0,0,2,0,0,0,0,0,20,3,1,5,13,0
강원특별자치도강릉의료원,종합병원,155,4,118,0,0,0,0,0,8,0,0,5,0,20,0,0,0,6,2,0,0,8,15
강원대학교병원,종합병원,632,38,484,0,0,12,0,16,33,8,15,26,0,0,0,0,10,30,11,4,10,15,43
근로복지공단 태백병원,종합병원,247,5,232,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10,2,1,2,20,15
근로복지공단 동해병원,종합병원,259,2,245,0,0,0,0,0,8,0,0,4,0,0,0,0,0,8,2,0,0,16,0
국군춘천병원,병원,152,1,139,0,0,0,0,0,0,0,0,0,4,8,0,0,0,5,1,0,0,7,0
국군홍천병원,병원,84,0,80,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,1,0,0,9,0
국군강릉병원,병원,97,3,85,0,0,0,0,0,0,0,0,0,3,6,0,0,0,5,2,0,0,9,0
강원특별자치도재활병원,병원,148,4,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0
근로복지공단 정선병원,병원,165,4,155,0,0,0,0,0,4,0,0,2,0,0,0,0,0,6,0,0,0,2,0
재)정선의료재단 군립병원,병원,30,5,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,8,0
춘천시노인전문병원,요양병원,166,3,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0
강원특별자치도립 강릉요양병원,요양병원,126,6,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
국립춘천병원,정신병원,153,0,0,0,0,36,0,117,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
강릉원주대학교치과병원,치과병원,15,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
충청북도 청주의료원,종합병원,583,29,339,0,0,0,0,180,29,0,0,6,0,0,0,0,9,16,4,1,4,20,22
충청북도 충주의료원,종합병원,294,23,243,0,0,0,0,0,12,0,0,16,0,0,0,0,10,13,4,1,0,14,20
충북대학교병원,상급종합병원,804,36,608,0,0,2,1,18,62,0,25,23,0,25,0,4,9,49,18,2,5,22,31
공군항공우주의료원,병원,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,7,0
충주위담통합병원,병원,134,6,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
충주시노인전문병원,요양병원,281,0,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
충북도립노인전문병원,요양병원,126,4,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
단양군립노인요양병원,요양병원,98,5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,10
청풍호노인사랑병원,요양병원,167,7,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12
영동군립노인전문병원,요양병원,120,12,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
청주시립요양병원,요양병원,197,1,191,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,20
충청북도청주의료원부설한의원,한의원,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
충남대학교병원,상급종합병원,1237,61,993,0,0,0,0,26,85,5,34,14,0,0,5,14,10,39,30,5,10,63,48
충청남도 홍성의료원,종합병원,402,20,256,0,0,10,0,88,25,0,0,1,0,2,0,0,10,22,4,2,8,28,24
충청남도 공주의료원,종합병원,272,11,241,0,0,0,0,0,13,0,0,6,0,1,0,0,0,15,5,1,0,19,25
충청남도 천안의료원,종합병원,294,14,259,0,0,0,0,0,15,0,0,6,0,0,0,0,15,13,4,0,0,14,29
충청남도 서산의료원,종합병원,278,8,255,0,0,0,0,0,10,0,0,5,0,0,0,0,0,20,4,0,0,15,0
대전보훈병원,종합병원,387,7,352,0,0,0,0,0,19,0,0,9,0,0,0,0,16,9,5,8,15,58,13
근로복지공단 대전병원,종합병원,268,4,232,0,0,0,2,29,0,0,0,0,1,0,0,0,0,2,3,0,0,35,0
세종충남대학교병원,종합병원,408,30,336,0,0,0,0,0,24,0,15,1,0,0,2,0,0,28,11,3,10,15,22
국군대전병원,병원,446,17,401,0,0,0,0,8,0,0,0,20,0,0,0,0,0,11,5,0,0,19,0
대전세종충남·넥슨후원 공공어린이재활병원,병원,50,2,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
국립공주병원,정신병원,100,0,0,0,0,37,0,33,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
대전광역시립제1노인전문병원,요양병원,290,4,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
논산시립노인전문병원,요양병원,117,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
서천군립노인요양병원,요양병원,197,1,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
보령시립노인전문병원,요양병원,160,10,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
대전광역시립제2노인전문병원,요양병원,163,11,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
천안시립노인전문병원,요양병원,144,1,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
국립법무병원,정신병원,1200,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
대전광역시온마음병원,정신병원,175,0,0,0,0,35,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
전북대학교병원,상급종합병원,1157,18,992,0,0,0,0,0,73,10,25,27,0,0,2,10,13,48,21,3,10,32,25
전라북도 남원의료원,종합병원,200,19,171,0,0,0,0,0,10,0,0,0,0,0,0,0,10,20,3,3,3,30,33
전라북도 군산의료원,종합병원,334,25,287,0,0,0,0,0,20,0,0,2,0,0,0,0,17,20,6,4,3,32,22
진안군의료원,병원,78,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,8,0
전주시립요양병원,요양병원,171,27,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
정읍시립요양병원,요양병원,199,21,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
완주군아름다운노인전문병원,요양병원,78,5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
부안군노인요양병원,요양병원,99,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
전라북도 고창노인요양병원,요양병원,195,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
전라북도 남원노인요양병원,요양병원,202,6,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
전라북도 마음사랑병원,정신병원,560,0,0,0,0,70,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
전북대학교치과병원,치과병원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
전남대학교병원,상급종합병원,1078,29,845,0,0,4,0,32,108,8,45,7,0,0,0,0,0,37,22,8,5,7,56
광주보훈병원,종합병원,549,16,504,0,0,0,0,0,26,0,0,2,0,1,0,0,29,16,8,2,5,36,31
목포시의료원,종합병원,299,0,259,0,0,0,0,40,0,0,0,0,0,0,0,0,0,10,3,0,0,17,15
화순전남대학교병원,상급종합병원,684,32,602,0,0,0,0,0,32,0,1,5,0,0,6,6,19,24,13,1,1,10,16
근로복지공단 순천병원,종합병원,266,2,259,0,0,0,0,0,4,0,0,1,0,0,0,0,0,6,3,0,0,17,0
빛고을전남대학교병원,종합병원,190,6,174,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,3,0,0,12,12
전라남도 순천의료원,종합병원,278,9,166,0,0,0,0,80,7,0,0,4,0,12,0,0,10,10,1,0,0,31,0
국립나주병원,정신병원,195,0,0,0,0,84,13,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
국립목포병원,병원,204,0,154,0,0,0,0,0,0,0,0,10,0,40,0,0,0,0,0,0,0,8,0
전라남도 강진의료원,병원,199,8,181,0,0,0,0,0,0,0,0,4,0,6,0,0,0,10,3,1,10,10,10
국립소록도병원,병원,677,0,677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0
국군함평병원,병원,100,0,97,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,1,0,0,12,0
호남권역재활병원,병원,179,9,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0
장흥통합의료병원,병원,100,2,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
영광군공립요양병원,요양병원,142,8,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
공립무안군노인전문요양병원,요양병원,132,6,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
진도군노인전문요양병원,요양병원,66,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
보성군립 노인전문요양병원,요양병원,168,3,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
고흥군공립노인전문요양병원,요양병원,171,13,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
여수시립요양병원,요양병원,132,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
곡성군립노인전문요양병원,요양병원,146,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
광양시공립노인전문요양병원,요양병원,174,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
장성공립노인전문요양병원,요양병원,155,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
화순군립요양병원,요양병원,186,12,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0
신안군공립요양병원,요양병원,80,6,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
함평군공립요양병원,요양병원,170,0,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
광주보훈요양병원,요양병원,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
광주시립제1요양병원,요양병원,257,18,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
광주시립정신병원,정신병원,202,0,0,0,0,54,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
근로복지공단 광주의원,의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
전남대학교치과병원,치과병원,14,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
경북대학교병원,상급종합병원,900,45,713,0,0,0,1,19,87,0,15,18,0,0,2,0,0,34,24,2,5,15,40
경상북도포항의료원,종합병원,298,3,212,0,0,9,0,54,10,0,0,7,0,3,0,0,26,10,3,1,5,10,0
대구의료원,종합병원,446,28,217,0,0,10,8,81,19,0,0,25,0,58,0,0,18,20,4,1,13,28,20
한국보훈복지의료공단 대구보훈병원,종합병원,459,13,420,0,0,0,0,0,23,0,0,1,2,0,0,0,18,14,6,1,0,15,28
경상북도안동의료원,종합병원,246,11,206,0,0,0,0,0,10,0,0,16,3,0,0,0,10,10,4,0,0,25,15
경상북도김천의료원,종합병원,296,20,253,0,0,0,0,0,15,0,0,8,0,0,0,0,10,18,5,0,0,16,22
상주적십자병원,종합병원,205,4,190,0,0,0,0,0,10,0,0,0,0,1,0,0,0,10,3,1,4,12,28
칠곡경북대학교병원,상급종합병원,945,56,778,0,0,0,0,20,23,8,31,17,0,0,2,10,26,41,34,7,7,15,20
영주적십자병원,종합병원,150,12,124,0,0,0,0,0,10,0,0,4,0,0,0,0,0,10,3,0,0,8,15
국군대구병원,병원,100,7,90,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,10,0
해군포항병원,병원,120,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,0
울진군의료원,병원,81,13,64,0,0,0,0,0,0,0,0,2,2,0,0,0,0,12,2,1,1,12,20
근로복지공단 대구병원,병원,200,3,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,0
경북권역재활병원,병원,150,1,148,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,28,0
경상북도립안동노인전문요양병원,요양병원,363,17,345,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,12
경상북도립경산노인전문요양병원,요양병원,299,8,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
대구광역시시지노인전문병원,요양병원,244,12,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
고령군립요양병원,요양병원,87,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
군립청도노인요양병원,요양병원,62,8,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
봉화군립노인전문요양병원,요양병원,143,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
경상북도립김천노인전문요양병원,요양병원,256,8,248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
경상북도포항노인전문요양병원,요양병원,166,2,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
대구광역시서부노인전문병원,요양병원,242,8,204,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,10,0
구미시립노인요양병원,요양병원,243,5,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0
경주시립노인전문요양병원,요양병원,240,0,209,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,5,0
영주시립노인전문요양병원,요양병원,246,5,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,25
칠곡군립노인요양병원,요양병원,149,10,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
상주시립요양병원,요양병원,197,2,193,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0
울진군의료원요양병원,요양병원,88,4,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
의성군공립요양병원,요양병원,196,32,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
시립문경요양병원,요양병원,197,2,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0
대구정신병원,정신병원,299,0,0,0,0,54,0,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경북대학교치과병원,치과병원,12,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
경산동의한방촌 한의원,한의원,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
경상남도마산의료원,종합병원,298,5,258,0,0,0,0,0,8,0,0,27,0,0,0,0,9,15,5,1,10,18,30
경상국립대학교병원,상급종합병원,895,39,715,0,0,0,1,22,66,0,15,35,0,0,2,0,13,50,17,7,16,16,30
양산부산대학교병원,상급종합병원,1200,92,935,0,0,0,7,26,58,13,38,8,0,15,4,4,14,45,25,4,2,46,25
근로복지공단 창원병원,종합병원,255,5,244,0,0,0,0,0,5,0,0,0,0,1,0,0,0,6,4,0,0,58,0
창원경상국립대학교병원,종합병원,606,47,459,0,0,0,2,20,32,0,17,18,0,11,0,0,0,28,14,9,18,13,40
국립마산병원,병원,354,0,324,0,0,0,0,0,10,0,0,20,0,0,0,0,0,0,0,0,0,18,0
통영적십자병원,병원,99,1,88,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,15,19
거창적십자병원,병원,91,13,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,5,8,20
해군해양의료원,병원,120,0,114,0,0,0,0,0,0,0,0,6,0,0,0,0,0,5,2,0,0,13,0
시립창원요양병원,요양병원,181,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
(의)환명의료재단 경상남도립김해노인전문병원,요양병원,199,13,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
경상남도립양산노인전문병원,요양병원,214,13,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
거창군립 노인요양병원,요양병원,126,25,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
의료법인진주의료재단 경상남도립통영노인전문병원,요양병원,272,34,235,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,7,13
남해군립노인전문병원,요양병원,95,1,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
의료법인 행복한의료재단 경남도립사천노인전문병원,요양병원,227,29,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
시립마산요양병원,요양병원,288,24,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
울산광역시립노인병원,요양병원,149,13,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
의령군립노인전문병원,요양병원,143,12,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0
국립부곡병원,정신병원,302,0,60,0,0,0,0,242,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
